#Genus	Species	Strain	NCBI accession	From	To	BGC type	On contig edge	Most similar known cluster	Similarity in %	MIBiG BGC-ID	Results URL
Micromonospora	Unknown	NBRC 110037	NZ_BBVA01000002.1	1943984	1965889	ripp-like rre-containing hybrid	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_BBVA01000002.1&start=1943984&end=1965889
Micromonospora	Unknown	NBRC 110037	NZ_BBVA01000002.1	1993619	2061225	nrps-like t1pks nrps hybrid	false	bleomycin A2/bleomycin B2	9	BGC0002350	https://antismash-db.secondarymetabolites.org/area?record=NZ_BBVA01000002.1&start=1993619&end=2061225
Micromonospora	Unknown	NBRC 110037	NZ_BBVA01000002.1	2142540	2210506	pks-like nrps-like t1pks nrps hybrid	false	naphthyridinomycin	14	BGC0000394	https://antismash-db.secondarymetabolites.org/area?record=NZ_BBVA01000002.1&start=2142540&end=2210506
Micromonospora	Unknown	NBRC 110037	NZ_BBVA01000002.1	2388485	2414946	lanthipeptide-class-i	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_BBVA01000002.1&start=2388485&end=2414946
Micromonospora	Unknown	NBRC 110037	NZ_BBVA01000003.1	436511	477573	t3pks	false	loseolamycin A1/loseolamycin A2	92	BGC0002362	https://antismash-db.secondarymetabolites.org/area?record=NZ_BBVA01000003.1&start=436511&end=477573
Micromonospora	Unknown	NBRC 110037	NZ_BBVA01000005.1	36148	48920	hydrogen-cyanide	false	BD-12	10	BGC0001379	https://antismash-db.secondarymetabolites.org/area?record=NZ_BBVA01000005.1&start=36148&end=48920
Micromonospora	Unknown	NBRC 110037	NZ_BBVA01000005.1	96296	129845	lap	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_BBVA01000005.1&start=96296&end=129845
Micromonospora	Unknown	NBRC 110037	NZ_BBVA01000005.1	145569	191341	t1pks	false	calicheamicin	24	BGC0000033	https://antismash-db.secondarymetabolites.org/area?record=NZ_BBVA01000005.1&start=145569&end=191341
Micromonospora	Unknown	NBRC 110037	NZ_BBVA01000006.1	293848	308661	naggn	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_BBVA01000006.1&start=293848&end=308661
Micromonospora	Unknown	NBRC 110037	NZ_BBVA01000010.1	36923	57850	terpene	false	isorenieratene	25	BGC0001456	https://antismash-db.secondarymetabolites.org/area?record=NZ_BBVA01000010.1&start=36923&end=57850
Micromonospora	Unknown	NBRC 110037	NZ_BBVA01000010.1	131434	152400	terpene	false	phosphonoglycans	3	BGC0000806	https://antismash-db.secondarymetabolites.org/area?record=NZ_BBVA01000010.1&start=131434&end=152400
Micromonospora	Unknown	NBRC 110037	NZ_BBVA01000012.1	0	15468	lanthipeptide-class-i	true		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_BBVA01000012.1&start=0&end=15468
Micromonospora	Unknown	NBRC 110037	NZ_BBVA01000012.1	38370	74964	lap thioamitides thiopeptide hybrid	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_BBVA01000012.1&start=38370&end=74964
Micromonospora	Unknown	NBRC 110037	NZ_BBVA01000024.1	0	3707	t1pks	true		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_BBVA01000024.1&start=0&end=3707
Micromonospora	Unknown	DSM 45344	NZ_LT598496.1	103239	161895	nrps	false	tasikamide A/tasikamide B/tasikamide C	68	BGC0002661	https://antismash-db.secondarymetabolites.org/area?record=NZ_LT598496.1&start=103239&end=161895
Micromonospora	Unknown	DSM 45344	NZ_LT598496.1	248346	289387	thiopeptide lap hybrid	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_LT598496.1&start=248346&end=289387
Micromonospora	Unknown	DSM 45344	NZ_LT598496.1	620262	643427	lanthipeptide-class-ii	false	diazepinomicin	5	BGC0000679	https://antismash-db.secondarymetabolites.org/area?record=NZ_LT598496.1&start=620262&end=643427
Micromonospora	Unknown	DSM 45344	NZ_LT598496.1	1256214	1305049	nrps	false	rubiginone A2/rubiginone J/rubiginone K/rubiginone L/rubiginone M/rubiginone N/ochromycinone/rubiginone B2	7	BGC0002478	https://antismash-db.secondarymetabolites.org/area?record=NZ_LT598496.1&start=1256214&end=1305049
Micromonospora	Unknown	DSM 45344	NZ_LT598496.1	1425909	1498431	t2pks	false	xantholipin	16	BGC0000279	https://antismash-db.secondarymetabolites.org/area?record=NZ_LT598496.1&start=1425909&end=1498431
Micromonospora	Unknown	DSM 45344	NZ_LT598496.1	1580594	1610409	ni-siderophore	false	FW0622	75	BGC0002690	https://antismash-db.secondarymetabolites.org/area?record=NZ_LT598496.1&start=1580594&end=1610409
Micromonospora	Unknown	DSM 45344	NZ_LT598496.1	1618116	1639349	terpene	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_LT598496.1&start=1618116&end=1639349
Micromonospora	Unknown	DSM 45344	NZ_LT598496.1	1662465	1688536	terpene	false	hopene	53	BGC0000663	https://antismash-db.secondarymetabolites.org/area?record=NZ_LT598496.1&start=1662465&end=1688536
Micromonospora	Unknown	DSM 45344	NZ_LT598496.1	1695241	1726444	ni-siderophore	false	peucechelin	20	BGC0002466	https://antismash-db.secondarymetabolites.org/area?record=NZ_LT598496.1&start=1695241&end=1726444
Micromonospora	Unknown	DSM 45344	NZ_LT598496.1	2147721	2215512	t1pks nrps-like nrps hybrid	false	bleomycin A2/bleomycin B2	9	BGC0002350	https://antismash-db.secondarymetabolites.org/area?record=NZ_LT598496.1&start=2147721&end=2215512
Micromonospora	Unknown	DSM 45344	NZ_LT598496.1	4074757	4099366	lanthipeptide-class-i	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_LT598496.1&start=4074757&end=4099366
Micromonospora	Unknown	DSM 45344	NZ_LT598496.1	4506882	4527845	terpene	false	phosphonoglycans	3	BGC0000806	https://antismash-db.secondarymetabolites.org/area?record=NZ_LT598496.1&start=4506882&end=4527845
Micromonospora	Unknown	DSM 45344	NZ_LT598496.1	4598089	4619019	terpene	false	meridamycin	13	BGC0001011	https://antismash-db.secondarymetabolites.org/area?record=NZ_LT598496.1&start=4598089&end=4619019
Micromonospora	Unknown	DSM 45344	NZ_LT598496.1	5174486	5215545	t3pks	false	loseolamycin A1/loseolamycin A2	88	BGC0002362	https://antismash-db.secondarymetabolites.org/area?record=NZ_LT598496.1&start=5174486&end=5215545
Micromonospora	Unknown	DSM 45344	NZ_LT598496.1	6634899	6655844	terpene	false	tetrachlorizine	13	BGC0002096	https://antismash-db.secondarymetabolites.org/area?record=NZ_LT598496.1&start=6634899&end=6655844
Micromonospora	Unknown	DSM 45344	NZ_LT598496.1	6792740	6818716	ripp-like terpene hybrid	false	lymphostin/neolymphostinol B/lymphostinol/neolymphostin b	38	BGC0001007	https://antismash-db.secondarymetabolites.org/area?record=NZ_LT598496.1&start=6792740&end=6818716
Micromonospora	Unknown	C31	NZ_JAGPXN010000001.1	0	40900	nrps-like	true	clipibicyclene/azabicyclene B/azabicyclene C/azabicyclene D	11	BGC0002697	https://antismash-db.secondarymetabolites.org/area?record=NZ_JAGPXN010000001.1&start=0&end=40900
Micromonospora	Unknown	C31	NZ_JAGPXN010000001.1	905107	946160	t3pks	false	loseolamycin A1/loseolamycin A2	80	BGC0002362	https://antismash-db.secondarymetabolites.org/area?record=NZ_JAGPXN010000001.1&start=905107&end=946160
Micromonospora	Unknown	C31	NZ_JAGPXN010000010.1	109711	124518	naggn	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_JAGPXN010000010.1&start=109711&end=124518
Micromonospora	Unknown	C31	NZ_JAGPXN010000011.1	16839	160386	lap t1pks nrps nrps-like hybrid	false	sipanmycin	22	BGC0001452	https://antismash-db.secondarymetabolites.org/area?record=NZ_JAGPXN010000011.1&start=16839&end=160386
Micromonospora	Unknown	C31	NZ_JAGPXN010000012.1	0	63031	t1pks	true	jerangolid A/jerangolid D	14	BGC0000080	https://antismash-db.secondarymetabolites.org/area?record=NZ_JAGPXN010000012.1&start=0&end=63031
Micromonospora	Unknown	C31	NZ_JAGPXN010000012.1	70984	197459	lassopeptide nrps hybrid	false	rimosamide	42	BGC0001760	https://antismash-db.secondarymetabolites.org/area?record=NZ_JAGPXN010000012.1&start=70984&end=197459
Micromonospora	Unknown	C31	NZ_JAGPXN010000013.1	126755	203425	betalactone lanthipeptide-class-ii nrps hybrid	true	cyclomarin D	17	BGC0000333	https://antismash-db.secondarymetabolites.org/area?record=NZ_JAGPXN010000013.1&start=126755&end=203425
Micromonospora	Unknown	C31	NZ_JAGPXN010000015.1	14757	37286	lanthipeptide-class-iii	false	SapB	100	BGC0000551	https://antismash-db.secondarymetabolites.org/area?record=NZ_JAGPXN010000015.1&start=14757&end=37286
Micromonospora	Unknown	C31	NZ_JAGPXN010000017.1	26079	70968	t1pks nrps-like hybrid	false	matlystatin A	83	BGC0001443	https://antismash-db.secondarymetabolites.org/area?record=NZ_JAGPXN010000017.1&start=26079&end=70968
Micromonospora	Unknown	C31	NZ_JAGPXN010000018.1	15293	89332	betalactone other nrps hybrid	false	melithiazol A	10	BGC0001010	https://antismash-db.secondarymetabolites.org/area?record=NZ_JAGPXN010000018.1&start=15293&end=89332
Micromonospora	Unknown	C31	NZ_JAGPXN010000018.1	110371	131604	terpene	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_JAGPXN010000018.1&start=110371&end=131604
Micromonospora	Unknown	C31	NZ_JAGPXN010000019.1	0	42408	lanthipeptide-class-ii nrps-like hybrid	true	actagardine	25	BGC0000495	https://antismash-db.secondarymetabolites.org/area?record=NZ_JAGPXN010000019.1&start=0&end=42408
Micromonospora	Unknown	C31	NZ_JAGPXN010000002.1	39791	60796	terpene	false	phosphonoglycans	3	BGC0000806	https://antismash-db.secondarymetabolites.org/area?record=NZ_JAGPXN010000002.1&start=39791&end=60796
Micromonospora	Unknown	C31	NZ_JAGPXN010000021.1	50040	70937	terpene	false	isorenieratene	25	BGC0001456	https://antismash-db.secondarymetabolites.org/area?record=NZ_JAGPXN010000021.1&start=50040&end=70937
Micromonospora	Unknown	C31	NZ_JAGPXN010000022.1	16290	113224	t1pks thioamide-nrp nrps hybrid	true	pellasoren/pellasoren B	41	BGC0001034	https://antismash-db.secondarymetabolites.org/area?record=NZ_JAGPXN010000022.1&start=16290&end=113224
Micromonospora	Unknown	C31	NZ_JAGPXN010000024.1	41156	90383	thiopeptide nrps hybrid	true		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_JAGPXN010000024.1&start=41156&end=90383
Micromonospora	Unknown	C31	NZ_JAGPXN010000027.1	0	67757	t1pks nrps 2dos ni-siderophore nrps-like hybrid	true	quinolidomicin A	49	BGC0002520	https://antismash-db.secondarymetabolites.org/area?record=NZ_JAGPXN010000027.1&start=0&end=67757
Micromonospora	Unknown	C31	NZ_JAGPXN010000028.1	6444	52267	t1pks	false	sporolide A/sporolide B	34	BGC0000150	https://antismash-db.secondarymetabolites.org/area?record=NZ_JAGPXN010000028.1&start=6444&end=52267
Micromonospora	Unknown	C31	NZ_JAGPXN010000003.1	223350	244304	terpene	false	tetrachlorizine	13	BGC0002096	https://antismash-db.secondarymetabolites.org/area?record=NZ_JAGPXN010000003.1&start=223350&end=244304
Micromonospora	Unknown	C31	NZ_JAGPXN010000032.1	0	32011	t1pks	true	funisamine	22	BGC0001944	https://antismash-db.secondarymetabolites.org/area?record=NZ_JAGPXN010000032.1&start=0&end=32011
Micromonospora	Unknown	C31	NZ_JAGPXN010000038.1	0	15081	t1pks	true		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_JAGPXN010000038.1&start=0&end=15081
Micromonospora	Unknown	C31	NZ_JAGPXN010000004.1	0	105762	t1pks	true	quinolidomicin A	38	BGC0002520	https://antismash-db.secondarymetabolites.org/area?record=NZ_JAGPXN010000004.1&start=0&end=105762
Micromonospora	Unknown	C31	NZ_JAGPXN010000041.1	0	9315	lanthipeptide-class-i	true		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_JAGPXN010000041.1&start=0&end=9315
Micromonospora	Unknown	C31	NZ_JAGPXN010000046.1	0	5813	t1pks	true		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_JAGPXN010000046.1&start=0&end=5813
Micromonospora	Unknown	C31	NZ_JAGPXN010000005.1	181757	192576	ripp-like	false	lymphostin/neolymphostinol B/lymphostinol/neolymphostin b	30	BGC0001007	https://antismash-db.secondarymetabolites.org/area?record=NZ_JAGPXN010000005.1&start=181757&end=192576
Micromonospora	Unknown	C31	NZ_JAGPXN010000058.1	0	1425	t1pks	true		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_JAGPXN010000058.1&start=0&end=1425
Micromonospora	Unknown	C31	NZ_JAGPXN010000009.1	98618	171137	t2pks	false	pradimicin-A	25	BGC0000256	https://antismash-db.secondarymetabolites.org/area?record=NZ_JAGPXN010000009.1&start=98618&end=171137
Micromonospora	Unknown	WMMA2032	NZ_CP024052.1	246330	341270	ni-siderophore thiopeptide t2pks lap hybrid	false	actinorhodin	68	BGC0000194	https://antismash-db.secondarymetabolites.org/area?record=NZ_CP024052.1&start=246330&end=341270
Micromonospora	Unknown	WMMA2032	NZ_CP024052.1	495514	568030	t2pks	false	paramagnetoquinone 1/paramagnetoquinone 2	25	BGC0001730	https://antismash-db.secondarymetabolites.org/area?record=NZ_CP024052.1&start=495514&end=568030
Micromonospora	Unknown	WMMA2032	NZ_CP024052.1	753657	774881	terpene	false	nocathiacin	4	BGC0000609	https://antismash-db.secondarymetabolites.org/area?record=NZ_CP024052.1&start=753657&end=774881
Micromonospora	Unknown	WMMA2032	NZ_CP024052.1	1102703	1314178	nrps-like t1pks 2dos hybrid	false	quinolidomicin A	62	BGC0002520	https://antismash-db.secondarymetabolites.org/area?record=NZ_CP024052.1&start=1102703&end=1314178
Micromonospora	Unknown	WMMA2032	NZ_CP024052.1	1624835	1673158	nrps nrps-like t1pks hybrid	false	rakicidin D	10	BGC0001329	https://antismash-db.secondarymetabolites.org/area?record=NZ_CP024052.1&start=1624835&end=1673158
Micromonospora	Unknown	WMMA2032	NZ_CP024052.1	2203446	2265876	t1pks nrps hybrid	false	tallysomycin A/tallysomycin B	5	BGC0001048	https://antismash-db.secondarymetabolites.org/area?record=NZ_CP024052.1&start=2203446&end=2265876
Micromonospora	Unknown	WMMA2032	NZ_CP024052.1	3316356	3331169	naggn	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_CP024052.1&start=3316356&end=3331169
Micromonospora	Unknown	WMMA2032	NZ_CP024052.1	3921275	3942241	terpene	false	phosphonoglycans	3	BGC0000806	https://antismash-db.secondarymetabolites.org/area?record=NZ_CP024052.1&start=3921275&end=3942241
Micromonospora	Unknown	WMMA2032	NZ_CP024052.1	4032758	4053685	terpene	false	isorenieratene	25	BGC0001456	https://antismash-db.secondarymetabolites.org/area?record=NZ_CP024052.1&start=4032758&end=4053685
Micromonospora	Unknown	WMMA2032	NZ_CP024052.1	4639506	4680556	t3pks	false	loseolamycin A1/loseolamycin A2	92	BGC0002362	https://antismash-db.secondarymetabolites.org/area?record=NZ_CP024052.1&start=4639506&end=4680556
Micromonospora	Unknown	WMMA2032	NZ_CP024052.1	6125151	6146102	terpene	false	tetrachlorizine	13	BGC0002096	https://antismash-db.secondarymetabolites.org/area?record=NZ_CP024052.1&start=6125151&end=6146102
Micromonospora	Unknown	WMMA2032	NZ_CP024052.1	6291505	6315979	terpene ripp-like hybrid	false	lymphostin/neolymphostinol B/lymphostinol/neolymphostin B	33	BGC0001006	https://antismash-db.secondarymetabolites.org/area?record=NZ_CP024052.1&start=6291505&end=6315979
Catellatospora	Unknown	2-25(1)	NZ_JAAOTI010000001.1	246356	302346	nrps	false	peucechelin	25	BGC0002466	https://antismash-db.secondarymetabolites.org/area?record=NZ_JAAOTI010000001.1&start=246356&end=302346
Catellatospora	Unknown	2-25(1)	NZ_JAAOTI010000001.1	384151	436893	t1pks nrps nrps-like hybrid	false	microsclerodermin	21	BGC0001231	https://antismash-db.secondarymetabolites.org/area?record=NZ_JAAOTI010000001.1&start=384151&end=436893
Catellatospora	Unknown	2-25(1)	NZ_JAAOTI010000012.1	183848	204718	terpene	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_JAAOTI010000012.1&start=183848&end=204718
Catellatospora	Unknown	2-25(1)	NZ_JAAOTI010000014.1	89215	100055	ripp-like	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_JAAOTI010000014.1&start=89215&end=100055
Catellatospora	Unknown	2-25(1)	NZ_JAAOTI010000014.1	210224	244776	thiopeptide rre-containing lap hybrid	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_JAAOTI010000014.1&start=210224&end=244776
Catellatospora	Unknown	2-25(1)	NZ_JAAOTI010000015.1	6097	27051	terpene	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_JAAOTI010000015.1&start=6097&end=27051
Catellatospora	Unknown	2-25(1)	NZ_JAAOTI010000017.1	134374	161286	betalactone	false	tautomycetin	14	BGC0000158	https://antismash-db.secondarymetabolites.org/area?record=NZ_JAAOTI010000017.1&start=134374&end=161286
Catellatospora	Unknown	2-25(1)	NZ_JAAOTI010000002.1	31565	66608	napaa	false	auroramycin	4	BGC0001522	https://antismash-db.secondarymetabolites.org/area?record=NZ_JAAOTI010000002.1&start=31565&end=66608
Catellatospora	Unknown	2-25(1)	NZ_JAAOTI010000021.1	69355	141862	t2pks	false	dutomycin	24	BGC0001409	https://antismash-db.secondarymetabolites.org/area?record=NZ_JAAOTI010000021.1&start=69355&end=141862
Catellatospora	Unknown	2-25(1)	NZ_JAAOTI010000026.1	70670	113652	nrps-like	false	diisonitrile antibiotic SF2768	16	BGC0001574	https://antismash-db.secondarymetabolites.org/area?record=NZ_JAAOTI010000026.1&start=70670&end=113652
Catellatospora	Unknown	2-25(1)	NZ_JAAOTI010000030.1	49009	90092	t3pks	false	alkylresorcinol	100	BGC0000282	https://antismash-db.secondarymetabolites.org/area?record=NZ_JAAOTI010000030.1&start=49009&end=90092
Catellatospora	Unknown	2-25(1)	NZ_JAAOTI010000037.1	210	46344	nrps	false	ansacarbamitocin	6	BGC0002552	https://antismash-db.secondarymetabolites.org/area?record=NZ_JAAOTI010000037.1&start=210&end=46344
Catellatospora	Unknown	2-25(1)	NZ_JAAOTI010000038.1	9884	32083	terpene	false	geosmin	100	BGC0001181	https://antismash-db.secondarymetabolites.org/area?record=NZ_JAAOTI010000038.1&start=9884&end=32083
Catellatospora	Unknown	2-25(1)	NZ_JAAOTI010000005.1	57858	111103	nrps	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_JAAOTI010000005.1&start=57858&end=111103
Catellatospora	Unknown	2-25(1)	NZ_JAAOTI010000053.1	0	24053	other terpene hybrid	true	isorenieratene	37	BGC0001456	https://antismash-db.secondarymetabolites.org/area?record=NZ_JAAOTI010000053.1&start=0&end=24053
Catellatospora	Unknown	2-25(1)	NZ_JAAOTI010000007.1	73333	115229	resorcinol	false	A54145	6	BGC0000291	https://antismash-db.secondarymetabolites.org/area?record=NZ_JAAOTI010000007.1&start=73333&end=115229
Catellatospora	Unknown	2-25(1)	NZ_JAAOTI010000007.1	205999	317958	nrps t1pks hybrid	true	pacidamycin 1/pacidamycin 2/pacidamycin 3/pacidamycin 4/pacidamycin 5/pacidamycin 6/pacidamycin 7/pacidamycin D	18	BGC0000951	https://antismash-db.secondarymetabolites.org/area?record=NZ_JAAOTI010000007.1&start=205999&end=317958
Catellatospora	Unknown	2-25(1)	NZ_JAAOTI010000008.1	27601	37973	ectoine	false	showdomycin	17	BGC0001778	https://antismash-db.secondarymetabolites.org/area?record=NZ_JAAOTI010000008.1&start=27601&end=37973
Catellatospora	Unknown	2-25(1)	NZ_JAAOTI010000008.1	39498	83602	nrps	false	s56-p1	29	BGC0001764	https://antismash-db.secondarymetabolites.org/area?record=NZ_JAAOTI010000008.1&start=39498&end=83602
Catellatospora	Unknown	2-25(1)	NZ_JAAOTI010000009.1	106593	137754	ni-siderophore	false	oryzanaphthopyran A/oryzanaphthopyran B/oryzanaphthopyran C/oryzanthrone A/oryzanthrone B/chlororyzanthrone A/chlororyzanthrone B	6	BGC0002656	https://antismash-db.secondarymetabolites.org/area?record=NZ_JAAOTI010000009.1&start=106593&end=137754
Catellatospora	Unknown	2-25(1)	NZ_JAAOTI010000009.1	253435	264242	ripp-like	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_JAAOTI010000009.1&start=253435&end=264242
Cellulosimicrobium	Unknown	72-3	NZ_CP053419.1	66063	112312	thioamide-nrp	false	enteromycin	12	BGC0002499	https://antismash-db.secondarymetabolites.org/area?record=NZ_CP053419.1&start=66063&end=112312
Cellulosimicrobium	Unknown	72-3	NZ_CP053419.1	353413	363704	ripp-like	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_CP053419.1&start=353413&end=363704
Cellulosimicrobium	Unknown	72-3	NZ_CP053419.1	697320	718235	terpene	false	7-deoxypactamycin	5	BGC0000119	https://antismash-db.secondarymetabolites.org/area?record=NZ_CP053419.1&start=697320&end=718235
Cellulosimicrobium	Unknown	72-3	NZ_CP053419.1	2113369	2156723	ni-siderophore t3pks hybrid	false	alkylresorcinol	100	BGC0000282	https://antismash-db.secondarymetabolites.org/area?record=NZ_CP053419.1&start=2113369&end=2156723
Cellulosimicrobium	Unknown	72-3	NZ_CP053419.1	3771700	3781997	ripp-like	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_CP053419.1&start=3771700&end=3781997
Polymorphospora	Unknown	NBRC 101157	NZ_AP023359.1	226186	237005	ripp-like	false	lymphostin/neolymphostinol B/lymphostinol/neolymphostin b	30	BGC0001007	https://antismash-db.secondarymetabolites.org/area?record=NZ_AP023359.1&start=226186&end=237005
Polymorphospora	Unknown	NBRC 101157	NZ_AP023359.1	1069016	1092382	lap	false	saquayamycin A	5	BGC0001769	https://antismash-db.secondarymetabolites.org/area?record=NZ_AP023359.1&start=1069016&end=1092382
Polymorphospora	Unknown	NBRC 101157	NZ_AP023359.1	1191842	1203672	ripp-like	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_AP023359.1&start=1191842&end=1203672
Polymorphospora	Unknown	NBRC 101157	NZ_AP023359.1	1832470	1892878	nrp-metallophore nrps hybrid	false	scabichelin	90	BGC0000423	https://antismash-db.secondarymetabolites.org/area?record=NZ_AP023359.1&start=1832470&end=1892878
